year,dataset,cols,new_name
2017,demographics,RIDAGEYR,age
2017,demographics,RIAGENDR,sex
2017,demographics,RIDEXPRG,pregnant
2017,demographics,RIDRETH1,race
2017,demographics,DMDEDUC2,education
2017,audiometry,SEQN,NA
2017,audiometry,AUXU500R,audio_right_500
2017,audiometry,AUXU1K1R,audio_right_1000
2017,audiometry,AUXU1K2R,audio_right_1000_retest
2017,audiometry,AUXU2KR,audio_right_2000
2017,audiometry,AUXU3KR,audio_right_3000
2017,audiometry,AUXU4KR,audio_right_4000
2017,audiometry,AUXU6KR,audio_right_6000
2017,audiometry,AUXU8KR,audio_right_8000
2017,audiometry,AUXU500L,audio_left_500
2017,audiometry,AUXU1K1L,audio_left_1000
2017,audiometry,AUXU1K2L,audio_left_1000_retest
2017,audiometry,AUXU2KL,audio_left_2000
2017,audiometry,AUXU3KL,audio_left_3000
2017,audiometry,AUXU4KL,audio_left_4000
2017,audiometry,AUXU6KL,audio_left_6000
2017,audiometry,AUXU8KL,audio_left_8000
2017,biochem,SEQN,NA
2017,biochem,LBXSAL,albumin
2017,biochem,LBXSAPSI,alp
2017,biochem,LBXSBU,bun
2017,biochem,LBXSGL,glucose
2017,biochem,LBXSUA,uap
2017,biochem,LBXSCR,creat
2017,biochem,LBDSALSI,albumin_gL
2017,biochem,LBDSCRSI,creat_umol
2017,BP,SEQN,NA
2017,BP,BPXOSY1,NA
2017,BP,BPXOSY2,NA
2017,BP,BPXOSY3,NA
2017,CBC,SEQN,NA
2017,CBC,LBXWBCSI,wbc
2017,CBC,LBXLYPCT,lymph
2017,CBC,LBXMCVSI,mcv
2017,CBC,LBXRDW,rdw
2017,CRP,SEQN,NA
2017,CRP,LBXHSCRP,NA
2017,hba1c,SEQN,NA
2017,hba1c,LBXGH,hba1c
2017,totcholesterol,SEQN,NA
2017,totcholesterol,LBXTC,totchol
2017,smoking,SEQN,NA
2017,smoking,SMQ020,smoking
