dataset,year_group,cols
audiometry,2017,AUXU6KR
audiometry,2017,AUXU8KR
audiometry,2017,AUXU500L
audiometry,2017,AUXU1K1L
audiometry,2017,AUXU1K2L
audiometry,2017,AUXU2KL
audiometry,2017,AUXU3KL
audiometry,2017,AUXU4KL
audiometry,2017,AUXU6KL
audiometry,2017,AUXU8KL
biochem,2017,SEQN
biochem,2017,LBXSAL
biochem,2017,LBXSAPSI
biochem,2017,LBXSBU
biochem,2017,LBXSGL
biochem,2017,LBXSUA
biochem,2017,LBXSCR
biochem,2017,LBDSALSI
biochem,2017,LBDSCRSI
BP,2017,SEQN
BP,2017,BPXOSY1
BP,2017,BPXOSY2
BP,2017,BPXOSY3
CBC,2017,SEQN
CBC,2017,LBXWBCSI
CBC,2017,LBXLYPCT
CBC,2017,LBXMCVSI
CBC,2017,LBXRDW
CRP,2017,SEQN
CRP,2017,LBXHSCRP
hba1c,2017,SEQN
hba1c,2017,LBXGH
totcholesterol,2017,SEQN
totcholesterol,2017,LBXTC
cardiovas,2017,SEQN
cardiovas,2017,MCQ160B
cardiovas,2017,MCQ160C
cardiovas,2017,MCQ160D
cardiovas,2017,MCQ160E
cardiovas,2017,MCQ160F
smoking,2017,SEQN
smoking,2017,SMQ020
diabetes,2017,SEQN
diabetes,2017,DIQ010
hypertension,2017,SEQN
hypertension,2017,BPQ020
bmi,2017,SEQN
bmi,2017,BMXBMI
ckd,2017,SEQN
ckd,2017,KIQ022
ckd,2017,KIQ025
hearing,2017,SEQN
hearing,2017,AUQ300
hearing,2017,AUQ370
hearing,2017,AUQ330
hearing,2017,AUQ350
